店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,MSPO  TERRACE　BLUE × BLUE,水戸市南町3-6-8　MSPO内,https://goo.gl/maps/xbBNyTzDtdDBEZAJ6,飲食,カフェ＆バーベキュー
一般店,茨城ロボッツ　チケット＆グッズショップ,水戸市緑町2-3-10　アダストリア水戸アリーナ,https://goo.gl/maps/3Mw2ygLftGKJzXac9,小売,ホームゲームチケット及びグッズ
一般店,セイコーマート水戸住吉店,水戸市住吉町91-7,https://goo.gl/maps/PmkbGpZRuff3V9or9,小売,食料品
一般店,セイコーマート水戸河和田３丁目店,水戸市河和田3-2280-1,https://goo.gl/maps/412DfL8SPrsJrf9U8,小売,食料品
一般店,セーコーマート水戸堀町店,水戸市堀町1223-1,https://goo.gl/maps/qnr3R8rY4v74aS1KA,小売,食料品
一般店,セイコーマート水戸大場店,水戸市大場町976-2,https://goo.gl/maps/6FmUqunB713hNwSXA,小売,食料品
一般店,セイコーマート水戸中原店,水戸市中原町770-1,https://goo.gl/maps/sEM85VWCgvu3KtTCA,小売,食料品
一般店,セイコーマート水戸千波西店,水戸市千波町2115-2,https://goo.gl/maps/1gvdXWhs8qWbhhAN6,小売,食料品
一般店,お好み焼　ひろうら,水戸市元山町1-2-65,https://goo.gl/maps/pFpwoy4WNdTtjUYW6,飲食,お好み焼、各種定食、弁当
一般店,梵珠庵,水戸市見和1-350-7,https://goo.gl/maps/F7saBxndfKVgFxuo9,飲食,和食・中華・芋焼・タピオカ
一般店,横綱本店,水戸市大足町1574,https://goo.gl/maps/GXFjnkgZfDYQnwK6A,飲食,鍋類各種
一般店,Aplaudo(アプラウド),水戸市南町3-4-38,https://goo.gl/maps/3Ne1E1AG5XjP38oQA,小売,ハンドメイド雑貨
一般店,Embellir（アンベリール）,水戸市泉町2-4-28　オフィス水戸ビル５F,,サービス,ネイルサロン
一般店,海鮮居酒屋あもん,水戸市泉町3-6-3,https://goo.gl/maps/iNGq1gVStoaJizko7,飲食,刺身、逸品料理、お酒
一般店,to_dining&daily goodthings,水戸市泉町2-2-44　斎藤ビル１F,https://goo.gl/maps/xw74UR2v4SvbmdNq7,飲食,ナチュラルワイン、パスタ、ランチ、生ハム
一般店,炭火焼きと鉄釜飯のお店ゑびす,水戸市笠原町1625-5,https://goo.gl/maps/DECvbvi3thNRXjre8,飲食,釜飯、うなぎ、常陸牛、シフォンケーキ
一般店,㈱金澤留造酒店,水戸市袴塚3-9-8,https://goo.gl/maps/kmRDhiVURX42fX9b6,小売,酒・食品
一般店,四川厨房　炎神,水戸市桜川2-1-6アイランドビル1F,https://g.page/agni_mito?share,飲食,中国料理
一般店,SOTO COFFEE,水戸市泉町3-2-26,https://g.page/sotocoffee?share,飲食,コーヒー・軽食・あまいもの
一般店,中国料理　泰山,水戸市城南2-14-22　池田ビル1F,https://goo.gl/maps/hEX2akxBvhBCx8mn6,飲食,担々麺・エビチリ・四川麻婆豆腐・各種中華料理
一般店,ぶたまる食堂　元吉田店,水戸市元吉田町1610-2　,https://goo.gl/maps/BjCU1QMFKWfKFoUg8,飲食,しょうが焼き、豚丼、トンテキ
一般店,カフェ　アルコイリス,水戸市泉町1-1-16,https://goo.gl/maps/tvhvh5nAnoqS5QGy8,飲食,常陸牛ハンバーグ、自家製スイーツ
一般店,喰処・飲処　てんまさ,水戸市宮町2-2-31　三友ビル地下１F,https://goo.gl/maps/Xy2Gacd9YGTMKo1LA,飲食,あんこう料理、納豆料理、地酒
