店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,Access Moon Shine,水戸市上水戸3-7-3,https://goo.gl/maps/rsMwKqdPW8i7Krtd8,サービス,美容室
一般店,アウローラ,水戸市泉町1-2-18,https://goo.gl/maps/kD8aZywAVMCPegx56,サービス,ヘアー&マッサージメニュー
一般店,観光第一交通株式会社,水戸市石川1-4002-38,https://goo.gl/maps/RFNvpQ9zRwGBhXqy5,サービス,タクシー
一般店,彩カイロプラクティックサロン,水戸市笠原町1216-4　パナボヌール安部102,https://goo.gl/maps/TTw8sL6NTPBTS3fNA,サービス,カイロプラクティック、エステティック
一般店,marriage support fil rouge,水戸市見川2－275－19,,サービス,婚活パーティー（土日開催予定）、セミナー、個別サポート
一般店,ハイス水戸,水戸市河和田町1100-1,https://g.page/Heiss-mito?share,サービス,レンタルコート、個人フットサル、施設リーグ、プライベートレッスン、バーベキュー
一般店,ビッグエコー　水戸店,水戸市元吉田町1325‐1,https://goo.gl/maps/qYX4FXkXphhHXySB9,サービス,カラオケBOX
一般店,Sugar Hill,水戸市吉沼町270‐3,https://goo.gl/maps/JagcRLgRv51caLZaA,サービス,まつ毛エクステンション
一般店,ストロベリーフィールズ水戸,水戸市渋井町598,https://g.page/fields-mito?share,サービス,写真撮影・衣装レンタル（七五三、お宮参り、初節句、入園入学、マタニティなど）
一般店,水戸プラザホテル,水戸市千波町2078－1,https://g.page/mitoplazahotel?share,サービス,宿泊・レストラン
一般店,BRUNO Rive Gauche(ﾌﾞﾙｰﾉ ﾘﾌﾞ ｺﾞｰｼｭ),水戸市赤塚１-１,https://goo.gl/maps/o1QaF72NxMA46HHBA,サービス,美容室
一般店,足湯フットセラピー豊愛サロン,水戸市南町2-16-50,https://goo.gl/maps/UcbVy8jyWmrS2D2KA,サービス,足湯、足もみ、ヨガ、瞑想
一般店,(有)グリーン交通茨城,水戸市浜田町415-3,,サービス,タクシー
一般店,アクセス交通タクシー,水戸市栄町1-8-7,,サービス,タクシー
一般店,(有)双葉タクシー,水戸市浜田町415-3,,サービス,タクシー
一般店,(有)久保田タクシー,水戸市杉崎町143-1,,サービス,タクシー
一般店,㈱グリーン交通なか常陽,水戸市浜田町415-3,,サービス,タクシー
一般店,(有)SUN観光シンヤ,水戸市浜田町415-3,,サービス,タクシー
一般店,(有)CSKグリーン・タクシー,水戸市浜田町415-3,,サービス,タクシー
一般店,石川タクシー,水戸市浜田町415-3,,サービス,タクシー
一般店,キルト千波,水戸市千波町2320-2,https://g.page/quilt-senba?share,サービス,鍼灸、マッサージ
一般店,㈱常陽第一タクシー,水戸市渋井町620-3,https://goo.gl/maps/3aaiXS9ccHu8NnFG8,サービス,タクシー
一般店,DSIドローンスクール茨城,水戸市酒門町4228-1,https://g.page/dsi-dac?share,サービス,ドローン機種販売、ドローン技能教習
一般店,トラストユーサービス,水戸市酒門町764-5,https://goo.gl/maps/Q5u3fjcfivzprp1A9,サービス,除草作業、廃棄物処理、引っ越しのお手伝い
一般店,㈱フリースタイル,水戸市宮町2-2-28　富士ビル３　１階,https://goo.gl/maps/3RHvus6SwkP9r3cu7,サービス,美容室
一般店,カメラのタナカ・スタジオタナカ,水戸市浜田1-16-16,https://goo.gl/maps/f8YhErGWVUbTFgz86,サービス,デジタルプリント・証明写真・各種記念撮影
一般店,シザーハンズ,水戸市元山町1-6-30,https://goo.gl/maps/f3q3edUaVRgn42G16,サービス,パーマ、カラー、カット
一般店,名鉄観光サービス㈱水戸支店,水戸市泉町2-2-33　水戸泉町ビル３F,https://goo.gl/maps/b7foFP4HGxmwPhu47,サービス,旅行（パッケージツアー・宿泊など）
一般店,リラックスサロン　RIBERTY,水戸市元吉田町932グレースガーデン108,https://goo.gl/maps/FsaqmqH8YYJZt8k38,サービス,エステ・リラクゼーションのケア
一般店,JTB茨城県庁前店,水戸市笠原町978-25 茨城県開発公社ビル1F,https://goo.gl/maps/ZPBVZ96haezpfLGo8,サービス,宿泊を伴う旅行のみ（取消に伴う返金は旅行券となります）
大型店,カラオケドレミ　水戸OPA店,水戸市宮町1-7-33　水戸サウスタワー9F,https://goo.gl/maps/Y3tApMwn88WiQVGo7,サービス,カラオケ　飲食　ランチセット（３H+ドリンクバー+ランチ付）
一般店,ディアナ　水戸千波店,水戸市千波町2309-1,https://goo.gl/maps/SUJmXiT7Gga6Usg7A,サービス,マツエク、ネイル
一般店,ディアナ　水戸元吉田店,水戸市元吉田町755-5,https://g.page/diana_mito_salon?share,サービス,マツエク、脱毛
一般店,エステ・ド・サフィール,水戸市吉沢町635-3,https://goo.gl/maps/1yLWg3Lt1pFKJmP29,サービス,化粧品、サプリなど
一般店,茨城交通㈱旅行部,水戸市袴塚3-5-36,https://goo.gl/maps/QFmSDz8n3TU5KY3J6,サービス,旅行
一般店,まごごろカット　水戸河和田店,水戸市河和田町3839-7,https://goo.gl/maps/HZbD2PvhwEU5vx876,サービス,"理容室、美容室、1,200円カット"
一般店,ホテルレイクビュー水戸,水戸市宮町1-6-1,https://goo.gl/maps/GqzyNm173WL9kiej6,サービス,宿泊・レストランでの会食
一般店,ＪＴＢ水戸支店,水戸市城南1-1-6　サザン水戸ビル２階,https://goo.gl/maps/dNENsshYKn6Na98MA,サービス,宿泊を伴う旅行のみ（取消に伴う返金は旅行券となります）
一般店,近畿日本ツーリスト関東㈱　水戸支店,水戸市宮町2-4-33,https://goo.gl/maps/jQkzjF97LD4fG8tB8,サービス,旅行
一般店,スーパー銭湯　やまの湯,水戸市笠原町144-1,https://g.page/yamanoyu?share,サービス,入浴回数券、薪サウナ、ボディケア
一般店,石塚サン・トラベル㈱,水戸市城東1-3-17　弓和ビル３F,https://goo.gl/maps/2VvczeYkDCQFst2s9,サービス,バスツアー参加費等
一般店,せんたく王国白梅店,水戸市宮内町字宮内3199-1　マルト元吉田店内,https://goo.gl/maps/CKkPXSXTVzYxGqpt8,サービス,クリーニング
一般店,ホテル　いづみ屋,水戸市常磐町2-4-26,https://goo.gl/maps/vJHQMEvHNm8YTNLE8,サービス,宿泊・宴会
一般店,イソダ美容室,水戸市三の丸2-5-27,https://goo.gl/maps/vyynhCWb8zy12Lcc6,サービス,弱酸性美容ベルジュバンス、着付け
一般店,海野クリーニング見川店,水戸市見川5-1-8,https://goo.gl/maps/VFokpVxbbyBaaSc29,サービス,クリーニング
一般店,海野クリーニング本店,水戸市五軒町1-2-24,https://goo.gl/maps/ef8mEwPPr4wEbJy26,サービス,クリーニング
一般店,ルートシックス,水戸市酒門町1130-10,https://goo.gl/maps/44ZXU9ZhJds9w7fXA,サービス,レンタルキャンピングカー
一般店,アールプランニングジャパン㈱,水戸市城東1-5-40,https://goo.gl/maps/pSkXfFaPpYYwn5X1A,サービス,自動車修理・販売・修理・車検他
一般店,ECRU Beauty 2,水戸市千波町1953-6　AIDYビル101,https://goo.gl/maps/256LHLPzrTffazSW8,サービス,エステ・ネイル・エステプロラボ商品
一般店,NK観光(有),水戸市見川5-302-3,,サービス,タクシー
一般店,茨城トヨタ自動車(株)水戸泉町店,水戸市泉町2-3-24,https://goo.gl/maps/mK9k9kdPffyiz7Ug9,サービス,自動車販売、整備、点検修理
一般店,極楽湯　水戸店,水戸市大塚町1838-1,https://goo.gl/maps/mxuUT6jpEG1gJLS17,サービス,スーパー銭湯
一般店,大学ボウル水戸店,水戸市元吉田町1059-3,https://goo.gl/maps/WVbVaBHaZDAJK3bY9,サービス,ボウリング
一般店,ホテルテラスザガーデン水戸,水戸市宮町1-7-20,https://goo.gl/maps/4NNPoh9sUv2duRBw8,サービス,ホテル宿泊・レストラン「トラットリア　イルバンカーレ」
一般店,水戸京成ホテル,水戸市三の丸1-4-73,https://goo.gl/maps/AhA4oQYMKKBZYgbK8,サービス,"ご宿泊・レストランでのご飲食・売店
"
一般店,東部ガス　プラザ酒門店,水戸市酒門町4240-2,https://goo.gl/maps/SpHXTHwQwnoDjDmR9,サービス,ガス給湯器・ガスコンロ・レンジフード
一般店,大丸自動車整備工業所,水戸市東前町1470-4,https://goo.gl/maps/xB9N5FUTQ1MZMSoD9,サービス,自動車整備
一般店,茨城海技学院,水戸市川又町1447,https://goo.gl/maps/aQJ2A1vFggsaseJ18,サービス,ボート免許講習
一般店,(株)さわやか交通,水戸市金町1-3-35,https://goo.gl/maps/zRJgJWCrxYq2N5ve8,サービス,一般タクシー・観光タクシー
一般店,パソコン教室パソコンくらぶ彩(いろどり),水戸市見川2-3079-5,https://goo.gl/maps/fzDrZvGXiFuZDgH69,サービス,パソコン教室レッスン
一般店,(株)新興自動車整備工場,水戸市本町3-21-9,https://goo.gl/maps/RJGEEKPgxmDgmxZ56,サービス,自動車販売・整備・点検・キズ・ヘコミ修理・保険販売
一般店,mahana(マハナ),水戸市平須町1820-264,https://goo.gl/maps/xs1pk46io5H23KhL9,サービス,美容業
一般店,美龍堂,水戸市東原3-6-44,https://goo.gl/maps/rAzauHucMMbe3WcH6,サービス,リラクゼーション
一般店,大石クリーニング店,水戸市内原町1429-9,https://goo.gl/maps/DTkP1RDgER2EW4zq7,サービス,衣類等クリーニング・リフォーム・修理
一般店,美容室ジュリエット,水戸市河和田町4382-28,https://goo.gl/maps/DaC4A926SKKuj3uPA,サービス,美容室
一般店,hair design A-Boo,水戸市見川2-50-16,https://goo.gl/maps/vpSdo8veBBZEMgYk8,サービス,美容室・ワックス・スプレー・ムース・オイル・クリーム　etc.
一般店,ロクタ自動車(株),水戸市有賀町2150-3,https://goo.gl/maps/hfUAWCms1dS1CynU6,サービス,自動車一般
大型店,ほぐしや本舗RirAKU,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,マッサージ
大型店,ラフィネ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,マッサージ
一般店,おしゃれ工房,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,洋服リフォーム
一般店,ハロースミス,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,靴、バッグ修理、合鍵複製
一般店,アイラッシュＡ＆Ａ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,まつ毛エクステ
一般店,ニューラフィネ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/iYoV2zS7DEMHHCyH6,サービス,マッサージ
一般店,オートサービス　飯島,水戸市大串町337-1,https://goo.gl/maps/q7AD29Z6AuqqZeSM8,サービス,自動車整備
一般店,飛田自動車,水戸市栗崎町1563-5,https://goo.gl/maps/Vkx5XuYWEKECifNj6,サービス,車検、鈑金塗装、オイル交換、コーティング
一般店,Bio Harvest 水戸本店 エステサロン,水戸市城南1-8-15,https://goo.gl/maps/qxh1xAVNQz1wx3zA7,サービス,エステサロン
大型店,ﾗﾌｨﾈ･ﾌﾟﾘｭｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,リラクゼーション
大型店,HairStudioL.A,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,美容室
大型店,あんしん工房,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,サービス,合鍵・印章
一般店,プレジデントホテル水戸,水戸市城南2-2-2,https://goo.gl/maps/xZAiehem6fvTvpFX7,サービス,宿泊及び中国料理（ランチ・ディナー）
一般店,大林写真館,水戸市末広町3-5-4,https://goo.gl/maps/sjpNn4vVyLQeo25o6,サービス,証明写真、プロフィール写真、スタジオ記念写真
一般店,(株)小貫写真館　パセオヌエボ,水戸市千波町2482-1,https://goo.gl/maps/C1hpB4iACj4zhvYA7,サービス,写真撮影及びプリント代
一般店,せんたく王国　千波店,水戸市千波町2474フードマーケットカスミ千波店内,https://goo.gl/maps/7v9ssU4QKR7brXkg8,サービス,クリーニング
