店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,(有)飯村写真館,水戸市赤塚1-369-7,https://goo.gl/maps/93f8SvqFvf6Egoj49,小売,写真
一般店,ローソン水戸四中入口店,水戸市元吉田町1974-2,https://goo.gl/maps/N5SR3M3Zp9ssuvQN9,小売,おにぎり、飲料など
一般店,ローソン水戸見和三丁目店,水戸市見和3-1532-1,https://goo.gl/maps/vprkyfozgL4rutH29,小売,コンビニ
大型店,Better Living ecle,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"キッチン雑貨
"
大型店,ｽﾘｰｺｲﾝｽﾞﾌﾟﾗｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"生活・インテリア雑貨
"
大型店,ｺｽﾒｰﾑ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"化粧品
"
大型店,ﾗﾃｨｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"アクセサリー
"
大型店,島村楽器,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"楽器
"
大型店,ﾐﾙﾌﾛｰﾗ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"宝飾品
"
大型店,ANAP,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"婦人衣料
"
大型店,FUN,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"婦人衣料
"
大型店,ESSENCE,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/FQ3Jo78xEjfrHJV69,小売,"婦人・紳士衣料
"
大型店,メガネハット　ロゼオ水戸笠原店,水戸市笠原町978-39,https://g.page/meganehut_tsuinzukasagai?share,小売,メガネ、補聴器、コンタクトレンズ
大型店,ディスカウントドラッグコスモス上水戸店,水戸市上水戸3-7-6,https://goo.gl/maps/h1nj7gRU2phofbHA9,小売,医薬品、化粧品、日用品、食品他
大型店,ディスカウントドラッグコスモス千波店,水戸市千波町1862-12,https://goo.gl/maps/HnP2D4V43UfNm99D8,小売,医薬品、化粧品、日用品、食品他
大型店,ディスカウントドラッグコスモス河和田店,水戸市河和田1-1814-1,https://goo.gl/maps/qSNJjYBm5HT9DtnK9,小売,医薬品、化粧品、日用品、食品他
一般店,メガネハット水戸店,水戸市新原1-3078-71,https://g.page/meganehut_mito?share,小売,メガネ、補聴器、コンタクトレンズ
一般店,(株)しまむら　シャンブル見和店,水戸市見和2-539-1,https://goo.gl/maps/pXXqZbmQ7CE5qU1W9,小売,雑貨、洋服
一般店,成城石井,水戸市宮町1-1-1,https://goo.gl/maps/Kd1AMTTFp7AQVPER8,小売,"グロッサリー
"
一般店,ウエルシア水戸姫子店,水戸市見和2-548-1,https://goo.gl/maps/qZ7FJJEh5UXLPSvX6,小売,医薬品・化粧品・食品・日用品等
一般店,御弁当零,水戸市笠原町1755-20,https://goo.gl/maps/7yHNq5HzwfZCMLLy9,小売,弁当
一般店,三越家具,水戸市愛宕町2255,https://goo.gl/maps/EsVXhuLxpz49KY2y7,小売,家具
一般店,カワチ薬品　水戸けやき台店,水戸市けやき台3-30,https://goo.gl/maps/Pg1X6CoT3T4nMopy5,小売,医薬品、日用品、食品等、
一般店,(株)坂場商店　小売部,水戸市本町2-7-8,,小売,日用雑貨、お線香、お香、ろうそく
一般店,ツルハドラック水戸元吉田東店,水戸市元吉田町2241‐1,https://goo.gl/maps/gmz1opz27jcVUCzX7,小売,医薬品、化商品、食器、雑貨
一般店,セブン‐イレブン　水戸元石川町店,水戸市元石川町2573‐4,https://goo.gl/maps/Vis8rVVfYg1i29FP9,小売,飲食料品、身の回り品、酒
一般店,セブン-イレブン水戸養護学校前店,水戸市元吉田町1873‐3,https://goo.gl/maps/AETbgxHXChNvZUsa7,小売,弁当、総菜、ドリンク、等
一般店,バンビ鞄工房　水戸店,水戸市笠原町600‐25,https://goo.gl/maps/fcadyLV7f6wjnJUQ8,小売,鞄、財布、袋物
一般店,辻武商事,水戸市末広町2‐4‐24,https://goo.gl/maps/kLmMhP1bcHo171Q68,小売,灯油、軽油等(配達可)
一般店,酒舗たなか,水戸市南町2‐6‐30,https://goo.gl/maps/CjViGSodBoNAUGjs6,小売,茨城地酒
一般店,ASA上水戸見和,水戸市新原2‐1‐5,https://goo.gl/maps/SKS3Z49osx96TKnj9,小売,朝日新聞、茨城新聞、日経新聞、他
一般店,シャトレーゼ　水戸店,水戸市元吉田町1325‐1,https://g.page/chateraise-mito?share,小売,和洋菓子、ケーキ、アイスクリーム
一般店,菓子屋のんびりくらし,水戸市天王町9‐23,https://g.page/nonbirikurashi?share,小売,チョコレート菓子
一般店,酒や　こまき,水戸市見和2-473-31,https://goo.gl/maps/VA38cRcESncXyiq87,小売,清酒・本格焼酎・ビール・飲料水・食品
一般店,セブン-イレブン水戸さくら通り店,水戸市米沢町92-1,https://goo.gl/maps/22S62yzrnKRUvzKg8,小売,食品・雑貨
一般店,セブン-イレブン水戸城東店,水戸市城東1-2-38,https://goo.gl/maps/6eTJYqUPu6aqsm9m8,小売,食品・雑貨
一般店,セブン-イレブン水戸笠原町店,水戸市笠原町1188-21,https://goo.gl/maps/Y5A8Hu14vcxrSxnHA,小売,食品・雑貨
一般店,セブン-イレブン水戸東桜川店,水戸市東桜川6-11,https://goo.gl/maps/wED2V3Pur2cKRGXK9,小売,食品・雑貨
一般店,セブン-イレブン水戸西けやき台店,水戸市住吉町24-14,https://goo.gl/maps/wCpcZLnorJybTspTA,小売,食品・雑貨
