店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,(有)飯村写真館,水戸市赤塚1-369-7,https://goo.gl/maps/93f8SvqFvf6Egoj49,小売,写真
一般店,ローソン水戸四中入口店,水戸市元吉田町1974-2,https://goo.gl/maps/N5SR3M3Zp9ssuvQN9,小売,おにぎり、飲料など
一般店,ローソン水戸見和三丁目店,水戸市見和3-1532-1,https://goo.gl/maps/vprkyfozgL4rutH29,小売,コンビニ
一般店,Drops Laundry Here.,水戸市東原2-5-19　ロワール東原1階,https://goo.gl/maps/evgcKMSznYngxeQ29,飲食,"ベビーカステラ、パフェ、コーヒー、スイーツ、布団、洗濯、洗濯代行
"
一般店,深谷瓦工業株式会社,水戸市鯉淵町1690-9,https://goo.gl/maps/AtUjmojE3v6ucTXg6,その他,"屋根瓦修繕工事、雨樋修理、清掃
"
一般店,モッチモ・パスタ&ＣＡＦＥ水戸御茶園店,水戸市千波町376,https://goo.gl/maps/RHpBNAsZXHg1oTWDA,飲食,パスタ
一般店,BIZENBORI Chiffon Cakes,水戸市本町1-5-30　ウインズロック1階,https://goo.gl/maps/Qafik2dBdoiz2HV19,飲食,シフォンケーキ
一般店,メガネハット水戸店,水戸市新原1-3078-71,https://g.page/meganehut_mito?share,小売,メガネ、補聴器、コンタクトレンズ
一般店,(株)しまむら　シャンブル見和店,水戸市見和2-539-1,https://goo.gl/maps/pXXqZbmQ7CE5qU1W9,小売,雑貨、洋服
一般店,Access Moon Shine,水戸市上水戸3-7-3,https://goo.gl/maps/rsMwKqdPW8i7Krtd8,サービス,美容室
一般店,成城石井,水戸市宮町1-1-1,https://goo.gl/maps/Kd1AMTTFp7AQVPER8,小売,"グロッサリー
"
一般店,ウエルシア水戸姫子店,水戸市見和2-548-1,https://goo.gl/maps/qZ7FJJEh5UXLPSvX6,小売,医薬品・化粧品・食品・日用品等
一般店,アウローラ,水戸市泉町1-2-18,https://goo.gl/maps/kD8aZywAVMCPegx56,サービス,ヘアー&マッサージメニュー
一般店,御弁当零,水戸市笠原町1755-20,https://goo.gl/maps/7yHNq5HzwfZCMLLy9,小売,弁当
一般店,観光第一交通株式会社,水戸市石川1-4002-38,https://goo.gl/maps/RFNvpQ9zRwGBhXqy5,サービス,タクシー
一般店,三越家具,水戸市愛宕町2255,https://goo.gl/maps/EsVXhuLxpz49KY2y7,小売,家具
一般店,彩カイロプラクティックサロン,水戸市笠原町1216-4　パナボヌール安部102,https://goo.gl/maps/TTw8sL6NTPBTS3fNA,サービス,カイロプラクティック、エステティック
一般店,marriage support fil rouge,水戸市見川2－275－19,,サービス,婚活パーティー（土日開催予定）、セミナー、個別サポート
一般店,カワチ薬品　水戸けやき台店,水戸市けやき台3-30,https://goo.gl/maps/Pg1X6CoT3T4nMopy5,小売,医薬品、日用品、食品等、
一般店,(株)坂場商店　小売部,水戸市本町2-7-8,,小売,日用雑貨、お線香、お香、ろうそく
一般店,ハイス水戸,水戸市河和田町1100-1,https://g.page/Heiss-mito?share,サービス,レンタルコート、個人フットサル、施設リーグ、プライベートレッスン、バーベキュー
一般店,ステーキ宮　水戸店,水戸市千波町462‐10,https://g.page/steakmiya-mito?share,飲食,ハンバーグ、ステーキ、サラダバー、スープバー、ドリンクバー
一般店,ステーキ宮　水戸インター店,水戸市大塚町2162,https://g.page/steakmiya-mitointer?share,飲食,ステーキ
一般店,時遊館水戸駅南口店,水戸市桜川1‐4‐5,https://goo.gl/maps/Zgsbg3ip59r6ng496,その他,カラオケ、飲食、酒
一般店,寧々家水戸駅南口店,水戸市桜川1‐4‐5‐3F,https://g.page/neneya-mitoekiminamiguchi?share,飲食,居酒屋
一般店,いろはにほへと水戸駅南口店,水戸市桜川1‐3‐3,https://g.page/irohanihoheto-mitoekiminamiguchi?share,飲食,居酒屋
一般店,ツルハドラック水戸元吉田東店,水戸市元吉田町2241‐1,https://goo.gl/maps/gmz1opz27jcVUCzX7,小売,医薬品、化商品、食器、雑貨
一般店,セブン‐イレブン　水戸元石川町店,水戸市元石川町2573‐4,https://goo.gl/maps/Vis8rVVfYg1i29FP9,小売,飲食料品、身の回り品、酒
一般店,セブン-イレブン水戸養護学校前店,水戸市元吉田町1873‐3,https://goo.gl/maps/AETbgxHXChNvZUsa7,小売,弁当、総菜、ドリンク、等
一般店,Chinese Kitchen 柏ノ木,水戸市飯富町5328‐1,https://goo.gl/maps/85gF8UDrm78YviQy6,飲食,地産地消をモットーにした中国料理
一般店,バンビ鞄工房　水戸店,水戸市笠原町600‐25,https://goo.gl/maps/fcadyLV7f6wjnJUQ8,小売,鞄、財布、袋物
一般店,辻武商事,水戸市末広町2‐4‐24,https://goo.gl/maps/kLmMhP1bcHo171Q68,小売,灯油、軽油等(配達可)
一般店,酒舗たなか,水戸市南町2‐6‐30,https://goo.gl/maps/CjViGSodBoNAUGjs6,小売,茨城地酒
一般店,ASA上水戸見和,水戸市新原2‐1‐5,https://goo.gl/maps/SKS3Z49osx96TKnj9,小売,朝日新聞、茨城新聞、日経新聞、他
一般店,シャトレーゼ　水戸店,水戸市元吉田町1325‐1,https://g.page/chateraise-mito?share,小売,和洋菓子、ケーキ、アイスクリーム
一般店,ビッグエコー　水戸店,水戸市元吉田町1325‐1,https://goo.gl/maps/qYX4FXkXphhHXySB9,サービス,カラオケBOX
一般店,レストランよこかわ,水戸市大町2‐3‐22,https://goo.gl/maps/8R5ypmdRrTNrhBGU6,飲食,洋食
一般店,菓子屋のんびりくらし,水戸市天王町9‐23,https://g.page/nonbirikurashi?share,小売,チョコレート菓子
一般店,カフェギャラリー　ゆずり葉,水戸市米沢町432-1,https://goo.gl/maps/uofoPaqzCVvCqttbA,飲食,ランチ、スイーツ、コーヒー等の飲みもの
一般店,Sugar Hill,水戸市吉沼町270‐3,https://goo.gl/maps/JagcRLgRv51caLZaA,サービス,まつ毛エクステンション
