店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
大型店,ラックラック　クリアランスマーケット,水戸市宮町1‐1‐1,https://goo.gl/maps/ayPyEjqTWS2nsgZT8,小売,衣料品
大型店,ディスカウントドラッグコスモス　堀町店,水戸市堀町1002-4,https://g.page/COSMOShorityou?share,小売,医薬品・化粧品・日用品・食料品他
大型店,ヨークベニマル　水戸元吉田店,水戸市元吉田町1037-4,https://goo.gl/maps/b3XZXDiXZ6s6M3jS7,小売,食料品、日用雑貨、家庭用品
大型店,Café・dé・Remi,水戸市宮町1-7-33　水戸サウスタワー8F,https://goo.gl/maps/PveFNrHwYZQEVbux7,飲食,ローストビーフ、自家製ハンバーグプレート、キッズドリンクバー
大型店,カラオケドレミ　水戸OPA店,水戸市宮町1-7-33　水戸サウスタワー9F,https://goo.gl/maps/Y3tApMwn88WiQVGo7,サービス,カラオケ　飲食　ランチセット（３H+ドリンクバー+ランチ付）
大型店,ウィノフスタイル/東急ハンズトラックマーケット,水戸市宮町1-7-33　水戸オーパ,https://goo.gl/maps/2iiYokBbehed97Hm9,小売,アパレル、雑貨、生活用品、カバン等
大型店,紅虎餃子房,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/d87obRPmXXURr3er5,飲食,レストラン
大型店,キッチン寅家,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/SMSqbV6sW2sRtadk8,飲食,洋食
大型店,エルアールディーアール,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/SMSqbV6sW2sRtadk8,小売,"婦人服
"
大型店,ウエルシアヨークタウン水戸店,水戸市元吉田町1030-12,https://goo.gl/maps/uNW1Lemk6XXUsqsQA,小売,医薬品・化粧品・食品・雑貨
大型店,シュープラザ水戸ヨークタウン店,水戸市元吉田町字岡崎1030-12,https://goo.gl/maps/skr3w9H6vhdxByXt5,小売,靴
大型店,焼肉秀門　水戸オーパ店,水戸市宮町1-7-33　水戸サウスタワー９F ,https://goo.gl/maps/ZXyKPy9gWvTvuySm7,飲食,宮崎牛　焼肉
大型店,ファッションセンターしまむら　エクセルみなみ店,水戸市宮町1-7-31　エクセルみなみ５F,https://goo.gl/maps/sLUwYuWSMtZ7kvgM8,小売,衣料品
大型店,MGEAドン・キホーテ上水戸店,水戸市上水戸2-9-10,https://goo.gl/maps/qLnYP9yZn2gxFbyF8,小売,食品・雑貨・家電
大型店,ドン・キホーテ水戸店,水戸市河和田町3891-434,https://goo.gl/maps/XZwihPoaarxef4Lm7,小売,食品、日用品、衣料品
大型店,サンドラッグ　水戸笠原店,水戸市小吹町新山2582-2,https://goo.gl/maps/UZ3WUncdKe5eyZrm6,小売,医薬品、化粧品、食料品
大型店,フレッシュ丸果,水戸市宮町1-7-31　エクセルみなみ,https://goo.gl/maps/CdoKT56q9vYvexZMA,小売,野菜
大型店,ミルフローラ・ドゥ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/cjmyEtovMBiTUa4r6,小売,婦人服
大型店,𠮷野屋,水戸市宮町1-1-1　プラムストリート,https://goo.gl/maps/63jECqSDCSnoE76Q6,飲食,牛丼
大型店,マークスアンドウェブ,水戸市宮町1-1-1　エクセル,https://goo.gl/maps/cjmyEtovMBiTUa4r6,小売,化粧品
大型店,山新ペットアイランド・トモニー水戸店,水戸市酒門町上千束3234-1,https://goo.gl/maps/tE9ZJHYfWDQQU9SD7,小売,ペット用品・ペット
大型店,ジェームス千波店,水戸市千波町1888-1,https://goo.gl/maps/p3RW3c1a1wzC181P9,小売,カー用品およびカーメンテナンス
